219,180,pli,180R2#180R3#180R4#180R5#180R6#180R1,PARIAMAN HARBOUR#TIKU HARBOUR#PALIMBUNGAN BATAHAN HARBOUR#TELUK AYERBANGIS#NATAL HARBOUR#WEST COAST-SUMATERA
220,181,pli,181R1#181R2#181R3#181,PORT OF MEMPERUK#PORT OF JEMAJA#PORT OF TAREMPA#NATUNA SEA
221,181A,pli,181A,LAUT NATUNA - PULAU PULAU ANAMBAS
222,182,pli,182R1#182,SIANTAN-NORTH COAST
223,182A,pli,182A,LAUT NATUNA PELABUHAN MATAK (GUGUS SEBELAH TIMUR LAUT)
224,183,pli,183R7#183R6#183R2#183R3#183R4#183R5#183R8#183R9#183R10#183R11#183R12#183R13#183R14#183R15#183 AREA1#183 AREA2#183R1,SANGIHE-PANTAI BARAT
225,184,pli,184R1#184R2#184R3#184R4#184R5#184R6#184R8#184R7#184R9#184,MIANGAS#KARAKELANG-PANTAI BARAT
226,185,pli,185R1#185R2#185,ARAR PORT#KATAPOP HARBOUR#PAPUA-WEST COAST
227,186,pli,186,PAPUA-PANTAI BARAT
228,186A,pli,186A#186A R1,PAPUA BARAT
229,186B,pli,186B,PAPUA BARAT
230,186C,pli,186C,RAJA AMPAT-PAPUA BARAT
231,187,pli,187,PAPUA PANTAI BARAT
232,188,pli,188R2#188R1#188R3#188R5#188R4#188R6#188R8#188R9#188R7,MUNA-PANTAI BARAT
233,189,pli,189R2#189R1#189R3,PELABUHAN NEIRA#PULAU-PULAU BANDA#PULAU-PULAU WATUBELA
234,190,pli,190,PAPUA-PANTAI UTARA
235,191,pli,191,PULAU BIAK-PANTAI SELATAN
236,192,pli,192,SULAWESI-EAST COAST TOMINI BAY
237,193,pli,193R1#193R4#193R3#193R2#193,PELABUHAN BUMBULAN#TELUK LIMBA#TELUK DULUPI#TELUK TILAMUTA#SULAWESI-PANTAI TIMUR
238,194,pli,194R1#194R2#194R3#194,TULADENGGI HARBOUR#MOGOGONDO HARBOUR#TOMINI HARBOUR#SULAWESI-EAST COAST
239,195,pli,195,SELAT BALI
240,196,pli,196,PAPUA-PANTAI UTARA
241,197,pli,197,PULAU-PULAU KAI
242,198,pli,198R5#198R1#198R2#198R3#198R4,PELABUHAN MERAUKE#MERAUKE
243,198A,pli,198A R2#198A R1#198A,MOUTH OF MARO RIVER#MERAUKE PORT#PAPUA-SOUTH WEST
244,199,pli,199R4#199R3#199R1#199R2,AGATS#DANAU SAUWA#PAPUA-PABTAI BARAT DAYA
245,200,pli,200R2#200R3#200#200R1,AIDUNA#UMAR#PAPUA-SOUTHWEST COAST
246,200A,pli,200A R1#200A R2#200A,PAPUA-PANTAI BARAT DAYA
247,201,pli,201#201R1,PAPUA-PANTAI BARAT DAYA
